公司代號,公司名稱,公司簡稱,產業類別,住址,董事長,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,簽證會計師事務所,英文簡稱,電子郵件信箱,公司網址
1788,杏昌生技股份有限公司,杏昌,生技醫療業,新北市三重區重新路5段609巷2號8樓之2,李忠良,1978/2/13,1998/7/20,新台幣                 10.0000元,"445,209,710","44,520,971",合併,每年,股東會,元富證券股份有限公司股務代理部,安侯建業聯合會計師事務所,HCI,jerry_pon108@hiclearance.com.tw,www.hiclearance.com.tw
1796,金穎生物科技股份有限公司,金穎生技,食品工業,台南市新營區新工路33號,張曉莉,1988/7/17,107/01/22,新台幣                 10.0000元,"414,597,930","41,459,793",合併,每年,董事會,兆豐證券股份有限公司,資誠聯合會計師事務所,GeneFerm,l1796@ms.tpex.org.tw,http://www.geneferm.com
1799,易威生醫科技股份有限公司,易威,生技醫療業,新竹科學工業園區新竹市東區研發二路10號1樓,林翰飛,1987/8/10,1997/11/10,新台幣                 10.0000元,"1,218,657,750","121,865,775",合併,每年,股東會,宏遠證券股份有限公司股務代理部,資誠聯合會計師事務所,EASYWELL,spokesman@easywellbio.com,http://www.easywellbio.com
1813,寶利徠光學科技股份有限公司,寶利徠,生技醫療業,33759桃園市大園區南港里11鄰長發路406號,宋一新,1982/9/22,1998/8/4,新台幣                 10.0000元,"466,355,100","46,635,510",合併,每年,董事會,群益金鼎證券股份有限公司,勤業眾信聯合會計師事務所,Polylite,info@gialens.com.tw,http://www.gialens.com.tw
1815,富喬工業股份有限公司,富喬,電子零組件業,雲林縣斗六市榴南里斗工十六路8號,張元賓,1988/1/14,1995/1/23,新台幣                 10.0000元,"4,590,210,360","459,021,036",合併,每年,股東會,富喬工業股份有限公司股務室,勤業眾信聯合會計師事務所,FFG,fulltech@ffg.com.tw,http://www.ffg.com.tw
2035,唐榮鐵工廠股份有限公司,唐榮公司,鋼鐵工業,高雄市小港區沿海二路四號,吳豐盛,1944/4/26,1995/7/7,新台幣                 10.0000元,"3,500,000,000","350,000,000",個別,每年,股東會,群益金鼎證券股份有限公司,安侯建業會計師事務所,TE,nty@mail.tangeng.com.tw,http://www.tangeng.com.tw
2061,風青實業股份有限公司,風青,電器電纜,高雄市苓雅區新光路38號30樓之4,陳福得,1983/9/10,1999/12/9,新台幣                 10.0000元,"471,082,900","47,108,290",合併,每季,董事會,中國信託商業銀行代理部,資誠聯合會計師事務所,FENG CHING,r7873942@ms23.hinet.net,http://www.fcm.com.tw
2063,世鎧精密股份有限公司,世鎧,鋼鐵工業,高雄市岡山區本洲里本工一路一號,杜泰源,1981/4/28,1999/9/7,新台幣                 10.0000元,"495,995,300","49,599,530",合併,每季,董事會,永豐金證券股份有限公司,勤業眾信聯合會計師事務所,SHEH KAI,roger@shehkai.com.tw,www.shehkai.com.tw
2064,晉椿工業股份有限公司,晉椿,鋼鐵工業,50544彰化縣鹿港鎮鹿工路24號,陳譽,1960/5/10,103/12/26,新台幣                 10.0000元,"696,300,000","69,630,000",合併,每年,董事會,群益金鼎證券股份有限公司,安侯建業聯合會計師事務所,CAMELLIA,cametal.taiwan@msa.hinet.net,http://www.camelliametal.com
2065,世豐螺絲股份有限公司,世豐,鋼鐵工業,(82547)高雄市橋頭區頂鹽里復興西路810號,杜泰源,1962/8/9,106/04/21,新台幣                 10.0000元,"533,998,370","53,399,837",合併,每季,董事會,富邦綜合證券股份有限公司,安侯建業聯合會計師事務所,SF,investor@shehfung.com,www.shehfung.com
2066,世德工業股份有限公司,世德,電機機械,高雄市大寮區(831)大發工業區華西路20號,陳光裕,1977/1/29,102/09/24,新台幣                 10.0000元,"422,095,140","42,209,514",合併,每半會計年度,董事會,台新綜合證券(股)公司股務代理部,安侯建業聯合會計師事務所,SUMEEKO,invest@sumeeko.com,www.sumeeko.com
2067,嘉鋼精密工業股份有限公司,嘉鋼,電機機械,(62155)嘉義縣民雄鄉民雄工業區成功二街21號,曹光照,1963/4/11,103/05/26,新台幣                 10.0000元,"451,381,770","45,138,177",合併,每年,董事會,中國信託商業銀行代理部,國富浩華聯合會計師事務所,CYSTEEL,abby@cysteel.com.tw,http://www.cysteel.com.tw/
2070,精湛光學科技股份有限公司,精湛,電機機械,高雄市湖內區忠孝街110巷58號,吳俊男,1983/9/21,107/12/17,新台幣                 10.0000元,"357,828,000","35,782,800",合併,每半會計年度,董事會,福邦證券股份有限公司,資誠聯合會計師事務所,Ching Chan,ccm@ccm3s.com,http://www.ccm3s.com/
2073,雄順金屬股份有限公司,雄順,鋼鐵工業,高雄市路竹區順安路393號,陳啟祥,1999/4/21,112/06/21,新台幣                 10.0000元,"275,000,000","27,500,000",個別,每年,股東會,永豐金證券(股)公司股務代理部,勤業眾信聯合會計師事務所,SSMC,ir@ssmc.com.tw,www.ssmc.com.tw
2221,大甲永和機械工業股份有限公司,大甲,其他,台中市大甲區幼獅路69號,黃士峰,1966/8/19,1996/8/1,新台幣                 10.0000元,"423,250,000","42,325,000",合併,每年,股東會,凱基證券股份有限公司,勤業眾信聯合會計師事務所,DAJA、YHMCO,yhmco@yhmco.com.tw,http://www.yhmco.com.tw/
2230,泰茂實業股份有限公司,泰茂,電機機械,(72046)台南市官田區二鎮里實踐街10號,呂萬賢,1980/2/6,102/04/18,新台幣                 10.0000元,"511,236,700","51,123,670",合併,每年,股東會,兆豐證券股份有限公司,勤業眾信聯合會計師事務所,C.T.I.,cti@ctico.com.tw,http://www.ctico.com.tw/
2235,謚源實業股份有限公司,謚源,電機機械,33378桃園市龜山區大華里頂湖路24號,吳碣石,1976/4/16,103/12/15,新台幣                 10.0000元,"358,780,000","35,878,000",個別,每年,股東會,統一證券股份有限公司股務代理部,安永聯合會計師事務所,I YUAN,florence@tiy-motor.com.tw,www.tiy-motor.com
2596,綠意開發股份有限公司,綠意,建材營造,台北市市民大道五段69號2樓,許燈城,1990/5/4,1998/6/1,新台幣                 10.0000元,"1,000,000,000","100,000,000",合併,每年,股東會,福邦證券股份有限公司,安侯建業聯合會計師事務所,ReaLy,services@realycorp.com.tw,www.realycorp.com.tw
2640,台灣大車隊股份有限公司,大車隊,數位雲端,台北市中山區長安東路二段162號2樓,林村田,1994/9/9,101/11/07,新台幣                 10.0000元,"592,649,560","59,264,956",合併,每年,董事會,凱基證券股份有限公司,資誠聯合會計師事務所,TaiwanTaxi,ir@taiwantaxi.com.tw,www.taiwantaxi.com.tw
2641,正德海運股份有限公司,正德,航運業,(802)高雄市苓雅區海邊路31號3樓,蔡邦權,1987/9/29,103/10/09,新台幣                 10.0000元,"2,975,723,510","297,572,351",合併,每年,董事會,福邦證券股務代理部,資誠聯合會計師事務所,Franbo Lines,kevincheng@franbo.com.tw,www.franbo.com.tw
2643,捷迅股份有限公司,捷迅,航運業,台北市內湖區瑞光路34號4樓,顧城明,1973/2/13,105/03/04,新台幣                 10.0000元,"350,000,000","35,000,000",合併,每年,董事會,中國信託商業銀行代理部,勤業眾信聯合會計師事務所,Soonest,soonestinv@soonest.com.tw,http://www.soonest.com
2718,晶悅國際飯店股份有限公司,晶悅,建材營造,台北市松山區八德路三段30號7樓,鍾鼎興,1966/4/8,100/03/29,新台幣                 10.0000元,"875,760,000","87,576,000",合併,每年,董事會,元大證券股份有限公司,資誠聯合會計師事務所,PH,tiffany@pleasanthotels.com.tw,http://www.pleasanthotels.com.tw/zh-TW
2719,台鋼燦星國際旅行社股份有限公司,燦星旅,觀光餐旅,台北市中山區民生東路二段161、163號7樓,侯佑霖,1992/2/24,101/02/24,新台幣                 10.0000元,"687,421,000","68,742,100",合併,每年,股東會,統一綜合證券股份有限公司,資誠聯合會計師事務所,Star Travel,-,www.startravel.com.tw
2724,藝舍國際創新股份有限公司,藝舍-KY,觀光餐旅,台北市中山區南京東路三段65號8樓,賴運興,1991/1/15,101/05/29,新台幣                 10.0000元,"596,563,450","59,656,345",合併,每年,股東會,第一金證券股份有限公司,資誠聯合會計師事務所,AAGD-KY,investors@aagd.com.tw,www.fxhotelsgroup.com
2726,雅茗天地股份有限公司,雅茗-KY,觀光餐旅,臺北市內湖區新湖一路77號6樓,吳伯超,1998/12/22,103/12/24,新台幣                 10.0000元,"280,000,000","28,000,000",合併,每年,董事會,中國信託商業銀行股份有限公司,勤業眾信聯合會計師事務所,Yummy Town,affairs@yummy-town.com,http://www.yummy-town.tw/
2729,瓦城泰統股份有限公司,瓦城,觀光餐旅,新北市中和區建一路176號7樓之1,徐承義,1989/9/8,101/09/17,新台幣                 10.0000元,"359,438,940","35,943,894",合併,每年,股東會,富邦綜合證券(股)公司,資誠聯合會計師事務所,TTFB,IR@ttfb.com,http://www.ttfb.com
2732,六角國際事業股份有限公司,六角,觀光餐旅,新竹縣竹北市高鐵九路98號,王耀輝,1993/2/16,104/01/20,新台幣                 10.0000元,"464,730,700","46,473,070",合併,每季,董事會,永豐金證券(股)公司股務代理部,勤業眾信聯合會計師事務所,La Kaffa,lakaffamail@lakaffa.com.tw,http://www.lakaffagroup.com/
2734,易飛網國際旅行社股份有限公司,易飛網,觀光餐旅,台北市中正區衡陽路51號2樓之1,周昀生,1988/12/22,102/12/26,新台幣                 10.0000元,"422,597,600","42,259,760",合併,每年,股東會,中國信託商業銀行代理部,安侯建業聯合會計師事務所,Ezfly,invest@ezfly.com,https://www.ezfly.com/
2736,富野大飯店股份有限公司,富野,觀光餐旅,台東縣卑南鄉溫泉村龍泉路30-2號5樓之41,劉清郎,1997/7/11,105/01/06,新台幣                 10.0000元,"499,722,300","49,972,230",合併,每年,股東會,元富證券股份有限公司股務代理部,安侯建業聯合會計師事務所,HOYA,pr@hoyaresort.com.tw,http://www.hoyaresort.com.tw
2740,天蔥國際股份有限公司,天蔥,觀光餐旅,台北市中正區館前路42號10樓,朱溥霖,1996/2/13,104/12/24,新台幣                 10.0000元,"231,854,840","23,185,484",合併,每年,股東會,統一綜合證券股份有限公司,安侯建業聯合會計師事務所,Mr. Onion,pr@mr-onion.com,http://www.mr-onion.com
2743,山富國際旅行社股份有限公司,山富,觀光餐旅,台北市中山區南京東路二段85號4樓,陳國森,1977/5/25,109/03/09,新台幣                 10.0000元,"360,117,000","36,011,700",合併,每年,股東會,福邦證券股份有限公司股務代理部,正風聯合會計師事務所,richmond,rit@richmond.com.tw,https://www.travel4u.com.tw/
2745,五福旅行社股份有限公司,五福,觀光餐旅,"高雄市三民區博愛一路28號2,3樓",許順富,1977/8/22,107/04/16,新台幣                 10.0000元,"338,085,260","33,808,526",合併,每年,股東會,台新證券股務代理部,勤業眾信聯合會計師事務所,LIFE TRAVEL,ir@lifetour.com.tw,www.lifetour.com.tw
2752,豆府股份有限公司,豆府,觀光餐旅,台北市中山區民權東路二段42號4樓,吳柏勳,1997/1/23,108/09/25,新台幣                 10.0000元,"262,673,820","26,267,382",合併,每年,董事會,福邦證券股份有限公司,勤業眾信聯合會計師事務所,TOFU,@dubuhouse.com.tw,https://www.tofuglobal.com/tw/home.html
2754,亞洲藏壽司股份有限公司,亞洲藏壽司,觀光餐旅,台北市中山區中山北路3段32號6樓及6樓之1,西川健太郎,103/01/21,109/09/17,新台幣                 10.0000元,"467,210,000","46,721,000",合併,每年,股東會,中國信託商業銀行 代理部,勤業眾信聯合會計師事務所,KURA SUSHI ASIA,ir@kurasushi.tw,http://investor.kurasushi.tw/
2755,揚秦國際企業股份有限公司,揚秦,觀光餐旅,桃園市中壢區合江路16號,卓靖倫,104/08/21,109/12/16,新台幣                 10.0000元,"301,400,000","30,140,000",合併,每年,股東會,台新綜合證券(股)公司股務代理部,勤業眾信聯合會計師事務所,YoungQin,IR@youngqin.com.tw,http://www.youngqin.com.tw
2756,聯發國際餐飲事業股份有限公司,聯發國際,觀光餐旅,新北市汐止區新台五路一段95號18樓之7,鄭凱隆,1993/2/26,111/01/14,新台幣                 10.0000元,"245,428,200","24,542,820",合併,每季,董事會,凱基證券股份有限公司股務代理部,勤業眾信聯合會計師事務所,LIAN FA,irr@1992sharetea.com,http://www.1992lianfa.com/
2916,滿心企業股份有限公司,滿心,居家生活,新北市五股區五權六路十八號,李俊良,1973/6/16,1994/3/10,新台幣                 10.0000元,"546,268,780","54,626,878",個別,每年,董事會,福邦證券(股)公司,安侯建業聯合會計師事務所,MUNSIN,munsin@ms7.hinet.net,www.munsin.com.tw
2924,開曼群島宏太股份有限公司,宏太-KY,居家生活,台北市中山區中山北路二段46號10樓,黃愛玲,1998/2/6,100/12/02,新台幣                 10.0000元,"328,051,740","32,805,174",合併,每年,股東會,台新證券股務代理部,安侯建業聯合會計師事務所,Grand Galactica,im@ggalactica.com,http://www.ggalactica.com
2926,誠品生活股份有限公司,誠品生活,文化創意業,臺北市信義區松德路204號B1,吳旻潔,1994/9/26,102/01/30,新台幣                 10.0000元,"473,896,500","47,389,650",合併,每年,董事會,元大證券(股)公司股務代理部,資誠聯合會計師事務所,Eslite Spectrum,ir@eslite.com,http://www.eslitespectrum.com.tw
2937,集雅社股份有限公司,集雅社,居家生活,高雄市苓雅區中正一路263號12樓,盧乾三,1983/10/26,106/06/08,新台幣                 10.0000元,"395,836,140","39,583,614",合併,每年,董事會,第一金證券股份有限公司,資誠聯合會計師事務所,Gseven,andy-ho@gseven.com.tw,www.gseven.com.tw
2941,米斯特國際企業股份有限公司,米斯特,居家生活,台中市西屯區市政北二路236號22樓之1,林瑞豪,1999/10/12,113/03/20,新台幣                 10.0000元,"153,900,000","15,390,000",個別,每年,董事會,群益金鼎證券(股)公司股務代理部,資誠聯合會計師事務所,MISTER,leslie@life8.com.tw,www.life8.com.tw
2947,振宇五金股份有限公司,振宇五金,居家生活,台中市西屯區環中路二段27號,曾善,1997/5/14,110/10/06,新台幣                 10.0000元,"192,686,000","19,268,600",合併,每半會計年度,董事會,元大證券股份有限公司股務代理部,資誠聯合會計師事務所,Zhen Yu,ir@zhenyu.com.tw,www.ald.com.tw
2948,寶陞國際股份有限公司,寶陞,居家生活,台北市信義區忠孝東路五段508號16樓,黃楷倫,105/10/03,112/12/12,新台幣                 10.0000元,"280,000,000","28,000,000",合併,每年,董事會,兆豐證券股份有限公司股務代理部,安永聯合會計師事務所,Bausen,service@bausen.com,https://www.bausen.com/
2949,欣新網股份有限公司,欣新網,數位雲端,台北市信義區東興路45號6樓,陳德仁,102/09/05,112/12/15,新台幣                 10.0000元,"242,000,000","24,200,000",合併,每年,董事會,台新綜合證券股份有限公司,安永聯合會計師事務所,HHG,hhg_sa@hhgalaxy.com.tw,https://www.hhgalaxy.com.tw/
3064,泰偉電子股份有限公司,泰偉,文化創意業,新北市三重區興德路111-1號10樓,楊南平,1989/8/2,1993/6/9,新台幣                 10.0000元,"130,114,510","13,011,451",合併,每年,股東會,元富證券股份有限公司,安永聯合會計師事務所,Astro Corp.,astro3064@astrocorp.com.tw,www.astrocorp.com.tw
3066,李洲科技股份有限公司,李洲,光電業,新北市汐止區新台五路一段97號27樓,李明順,1963/5/24,1993/12/2,新台幣                 10.0000元,"830,706,120","83,070,612",合併,每年,股東會,群益證券股份有限公司,勤業眾信聯合會計師事務所,TAIWAN OASIS,candy.chiu@oasistek.com,http://www.oasistek.com
3067,全域股份有限公司,全域,其他電子業,台北市內湖區瑞光路358巷38弄36號6樓之1,鄒景文,1962/11/22,1992/10/21,新台幣                 10.0000元,"200,000,000","20,000,000",合併,每年,股東會,元大証券股份有限公司,國富浩華聯合會計師事務所,PNC,ir@twphonic.com,www.twphonic.com
3071,協禧電機股份有限公司,協禧,電腦及週邊設備業,屏東市橋南里工業六路東段六號,黃瑞益,1967/7/19,1993/12/30,新台幣                 10.0000元,"1,100,000,000","110,000,000",合併,每年,董事會,中國信託商業銀行代理部,安永聯合會計師事務所,ADDA,tsai@adda.com.tw,http://www.adda.com.tw
3073,天方能源科技股份有限公司,天方能源,綠能環保,台北市中山區吉林路99號3樓,甘正智,1980/10/22,1996/10/8,新台幣                 10.0000元,"320,995,560","32,099,556",合併,每年,股東會,兆豐證券股份有限公司股務代理部,安侯建業聯合會計師事務所,Teamphon,info@tpenergy.com.tw,https://www.tpenergy.com.tw
3078,僑威科技股份有限公司,僑威,電子零組件業,桃園市桃園區幸福路208號13樓,潘君威,1982/10/5,1994/1/31,新台幣                 10.0000元,"2,273,910,640","227,391,064",合併,每年,董事會,富邦綜合證券(股)公司股務代理部,勤業眾信聯合會計師事務所,CWT,monica@mail.cwt.com.tw,www.cwt.com.tw
3081,聯亞光電工業股份有限公司,聯亞,通信網路業,台南市善化區南科九路12號,張景溢,1986/6/2,104/07/22,新台幣                 10.0000元,"918,476,770","91,847,677",個別,每年,董事會,華南永昌綜合證券(股)公司,安侯建業聯合會計師事務所,LandMark,investor@lmoc.com.tw,https://www.lmoc.com.tw/
3083,中華網龍股份有限公司,網龍,文化創意業,台北市南港區南港路三段四十七巷二號四樓,王俊博,1989/3/28,1992/12/2,新台幣                 10.0000元,"864,361,080","86,436,108",合併,每年,股東會,永豐金證券股份有限公司,勤業眾信聯合會計師事務所,CHINESEGAMER,investment@chinesegamer.net,www.chinesegamer.net
3085,創新新零售股份有限公司,新零售,數位雲端,台北市大同區南京西路66號5樓,劉兆生,1983/9/1,1993/3/1,新台幣                 10.0000元,"290,192,880","29,019,288",合併,每年,股東會,台新綜合證券股份有限公司,馬施云大華聯合會計師事務所,NEWRETAIL,jason.chang@newretail.com.tw,http://www.newretail.com.tw/
3086,華義國際數位娛樂股份有限公司,華義,文化創意業,台北市內湖區行愛路141巷39號6樓,施書凱,1982/8/12,1993/3/29,新台幣                 10.0000元,"236,112,990","23,611,299",合併,每年,董事會,台新證券股務代理部,勤業眾信聯合會計師事務所,WAYI,investment@wayi.com.tw,www.wayi.net
3088,艾訊股份有限公司,艾訊,電腦及週邊設備業,新北市汐止區南興路55號8樓,楊裕德,1979/5/11,1994/4/28,新台幣                 10.0000元,"1,020,204,600","102,020,460",合併,每年,董事會,台新證券股務代理部,資誠聯合會計師事務所,AXIOMTEK,jane.hsu@axiomtek.com.tw,http://www.axiomtek.com.tw
3093,台灣港建股份有限公司,港建*,其他電子業,桃園市蘆竹區南崁路2段66號5樓之4,何樹燦,1966/6/14,1994/6/17,新台幣                  2.5000元,"362,888,940","145,155,576",合併,每年,董事會,永豐金證券股份有限公司,安永聯合會計師事務所,TKK,Nina_Lin@tkk.com.tw,www.tkk.com.tw
3095,及成企業股份有限公司,及成,通信網路業,新北市中和區建二路111號,張正寬,1962/3/23,1994/5/26,新台幣                 10.0000元,"128,800,000","10,000,000",合併,每年,股東會,中國信託商業銀行代理部,安侯建業聯合會計師事務所,CCC,jones.chou@chicheng.com.tw,http://www.chicheng.com.tw
3105,穩懋半導體股份有限公司,穩懋,半導體業,桃園市龜山區華亞科技園區科技七路69號,陳進財,1988/10/16,100/12/13,新台幣                 10.0000元,"4,239,403,840","423,940,384",合併,每年,董事會,福邦證券股份有限公司股務代理部,安侯建業會計師事務所,WIN,ir@winfoundry.com,www.winfoundry.com
3114,好德科技股份有限公司,好德,電子零組件業,台北市松山區敦化南路一段25號6樓,陳國鴻,1967/9/23,1993/3/25,新台幣                 10.0000元,"651,297,920","65,129,792",合併,每年,股東會,元富證券股份有限公司,安永聯合會計師事務所,HT,spokesman@howteh.com.tw,www.howteh.com.tw
3115,富育榮綱股份有限公司,富榮綱,電子零組件業,台北市士林區承德路四段172號7樓,承育企業管理顧問有限公司-代表人陳銘寬,1981/8/13,1994/4/8,新台幣                 10.0000元,"436,976,000","43,697,600",合併,每年,股東會,台新綜合證券股份有限公司,霈昇聯合會計師事務所,TSC,abin@tscl.com.tw,http://www.tscl.com.tw
3118,進階生物科技股份有限公司,進階,生技醫療業,新北市汐止區康寧街169巷80號,邱春龍,1978/12/7,1997/5/21,新台幣                 10.0000元,"324,528,600","32,452,860",個別,每年,董事會,元大證券股份有限公司,安侯建業聯合會計師事務所,LEVEL,pr@mail.level.com.tw,www.level.com.tw
3122,笙泉科技股份有限公司,笙泉,半導體業,(30288)新竹縣竹北市台元一街8號7樓之一,溫國良,1988/6/21,104/01/26,新台幣                 10.0000元,"401,249,860","40,124,986",合併,每年,董事會,群益金鼎證券(股)公司股務代理部,勤業眾信聯合會計師事務所,Megawin,sholder@megawin.com.tw,www.megawin.com.tw
3128,昇銳電子股份有限公司,昇銳,光電業,桃園市八德區長興路六七三號,江添貴,1976/9/23,1995/9/4,新台幣                 10.0000元,"420,000,000","42,000,000",合併,每年,股東會,群益金鼎證券股份有限公司,勤業眾信聯合會計師事務所,HI SHARP,fred@hisharp.com.tw,www.hisharp.com
3131,弘塑科技股份有限公司,弘塑,其他電子業,30095新竹市香山區中華路六段89號,張鴻泰,1982/5/7,100/01/17,新台幣                 10.0000元,"292,160,150","29,216,015",合併,每年,董事會,群益金鼎證券股份有限公司,資誠聯合會計師事務所,GPTC,invest@gptc.com.tw,http://www.gptc.com.tw/
